bin_N,ust,sigma_ust,tau,sigma_tau,tauex,sigma_tauex,zq,sigma_zq,Q,sigma_Q,fQ,sigma_fQ
3,0.087,0.018,0.01,0.003,-0.126,0.016,  NaN,  NaN,0,0,0,0
2,0.137,0.013,0.022,0.004,-0.113,0.016,  NaN,  NaN,0,0,0,0
3,0.214,0.01,0.053,0.005,-0.082,0.016,  NaN,  NaN,0,0,0,0
3,0.253,0.003,0.074,0.002,-0.061,0.015,  NaN,  NaN,0,0,0,0
1,0.363,0.005,0.153,0.004,0.018,0.016,0.104,0.007,2.36,2.36,0.687,0
3,0.399,0.003,0.185,0.003,0.05,0.016,0.093,0.004,12.68,1.58,0.943,0.023
2,0.437,0.004,0.221,0.004,0.086,0.016,0.099,0.005,24.29,2.85,0.999,0.001
4,0.471,0.003,0.258,0.003,0.123,0.015,0.093,0.004,34,1.37,1,0
3,0.485,0.003,0.272,0.003,0.137,0.016,0.098,0.008,38.3,2,1,0
2,0.492,0.004,0.281,0.004,0.146,0.016,0.101,0.006,33.43,1.93,1,0
3,0.525,0.003,0.32,0.004,0.185,0.016,0.09,0.004,36.96,5.3,1,0
