bin_N,ust,sigma_ust,tau,sigma_tau,tauex,sigma_tauex,zq,sigma_zq,Q,sigma_Q,Qhat,sigma_Qhat,fQ,sigma_fQ
3,0.087,0.018,0.010,0.003,-0.126,0.016,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
2,0.137,0.013,0.022,0.004,-0.113,0.016,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
3,0.214,0.010,0.053,0.005,-0.082,0.016,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
3,0.253,0.003,0.074,0.002,-0.061,0.015,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
1,0.363,0.005,0.153,0.004, 0.018,0.016,0.104,0.007, 2.36,2.36,0.068,0.068,0.687,0.000
3,0.399,0.003,0.185,0.003, 0.050,0.016,0.093,0.004,12.68,1.58,0.364,0.050,0.943,0.023
2,0.437,0.004,0.221,0.004, 0.086,0.016,0.099,0.005,24.29,2.85,0.698,0.091,0.999,0.001
4,0.471,0.003,0.258,0.003, 0.123,0.015,0.093,0.004,34.00,1.37,0.977,0.068,1.000,0.000
3,0.485,0.003,0.272,0.003, 0.137,0.016,0.098,0.008,38.30,2.00,1.100,0.084,1.000,0.000
2,0.492,0.004,0.281,0.004, 0.146,0.016,0.101,0.006,33.43,1.93,0.960,0.078,1.000,0.000
3,0.525,0.003,0.320,0.004, 0.185,0.016,0.090,0.004,36.96,5.30,1.062,0.164,1.000,0.000
