bin_N,ust,sigma_ust,tau,sigma_tau,tauex,sigma_tauex,zq,sigma_zq,Q,sigma_Q,Qhat,sigma_Qhat,fQ,sigma_fQ
23,0.049,0.005,0.004,0.001,-0.090,0.006,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
 8,0.109,0.005,0.015,0.001,-0.079,0.006,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
14,0.147,0.003,0.026,0.001,-0.067,0.006,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
29,0.173,0.001,0.037,0.001,-0.057,0.006,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
 7,0.194,0.003,0.046,0.001,-0.047,0.006,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
 9,0.215,0.002,0.056,0.001,-0.037,0.006,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
 9,0.237,0.002,0.069,0.001,-0.025,0.006,0.000,0.000, 0.00,0.00,0.000,0.000,0.000,0.000
11,0.255,0.002,0.079,0.001,-0.014,0.006,0.062,0.004, 0.03,0.02,0.001,0.001,0.009,0.006
 8,0.274,0.002,0.092,0.001,-0.002,0.006,0.049,0.005, 1.07,1.07,0.038,0.038,0.158,0.088
15,0.291,0.001,0.103,0.001, 0.010,0.006,0.058,0.003, 1.16,0.82,0.041,0.029,0.250,0.052
14,0.302,0.001,0.111,0.001, 0.018,0.006,0.058,0.003, 2.26,0.85,0.080,0.030,0.352,0.080
13,0.315,0.002,0.121,0.001, 0.028,0.006,0.058,0.003, 3.47,0.93,0.123,0.033,0.503,0.077
13,0.329,0.002,0.132,0.001, 0.039,0.006,0.053,0.002, 6.59,1.26,0.233,0.045,0.617,0.084
 8,0.343,0.002,0.143,0.002, 0.050,0.006,0.058,0.003, 8.71,2.01,0.308,0.072,0.673,0.118
 5,0.355,0.003,0.154,0.002, 0.060,0.006,0.056,0.002,12.23,2.18,0.433,0.078,0.903,0.024
 3,0.376,0.005,0.172,0.004, 0.079,0.007,0.054,0.004,12.62,1.84,0.447,0.067,0.947,0.031
 8,0.393,0.002,0.188,0.002, 0.095,0.006,0.052,0.002,19.75,3.71,0.699,0.133,0.971,0.020
 5,0.403,0.003,0.198,0.002, 0.105,0.006,0.053,0.002,14.10,2.22,0.499,0.080,1.000,0.024
 3,0.418,0.003,0.213,0.003, 0.120,0.007,0.054,0.003,24.83,1.84,0.879,0.071,0.998,0.031
 3,0.428,0.003,0.223,0.004, 0.130,0.007,0.053,0.003,19.70,8.36,0.697,0.297,1.000,0.031
 4,0.446,0.003,0.243,0.003, 0.149,0.007,0.048,0.003,27.70,1.60,0.981,0.064,0.999,0.027
 3,0.475,0.004,0.275,0.004, 0.182,0.007,0.053,0.003,31.26,1.84,1.106,0.074,1.000,0.031
 2,0.508,0.008,0.315,0.010, 0.222,0.012,0.057,0.004,28.85,2.26,1.021,0.086,1.000,0.038
