IntervalN	TrapN	Duration_s	Weight_g	TopHeight_m	HeightTrap_m	WidthTrap_m	Dtrap_mm	Dsigmatrap_mm
1	1	120	105.1	0.025	0.025	0.1	0.334	1.554
1	2	120	73.9	0.05	0.025	0.1	0.271	1.526
1	3	120	64.1	0.1	0.05	0.1	0.264	1.47
1	4	120	36.4	0.15	0.05	0.1	0.261	1.457
1	5	120	31.6	0.25	0.1	0.1	0.27	1.42
1	6	120	38.7	0.35	0.1	0.1	0.285	1.435
2	1	180	206.5	0.025	0.025	0.1	0.266	1.571
2	2	180	121	0.05	0.025	0.1	0.225	1.426
2	3	180	92.5	0.1	0.05	0.1	0.228	1.4
2	4	180	45.6	0.15	0.05	0.1	0.24	1.425
2	5	180	40.2	0.25	0.1	0.1	0.244	1.402
2	6	180	32.1	0.35	0.1	0.1	0.251	1.418
3	1	240	139	0.025	0.025	0.1	0.273	1.554
3	3	240	112.7	0.1	0.05	0.1	0.241	1.432
3	4	240	54.7	0.15	0.05	0.1	0.251	1.422
3	5	240	40.9	0.25	0.1	0.1	0.248	1.417
3	6	240	22.2	0.35	0.1	0.1	0.252	1.4
4	1	170	148.8	0.025	0.025	0.1	0.34	1.441
4	2	170	76.5	0.05	0.025	0.1	0.296	1.402
4	3	170	89.1	0.1	0.05	0.1	0.292	1.374
4	4	170	45.1	0.15	0.05	0.1	0.296	1.347
4	5	170	17.8	0.25	0.1	0.1	0.295	1.382
4	6	170	16.7	0.35	0.1	0.1	0.307	1.349
5	1	240	165.8	0.025	0.025	0.1	0.325	1.432
5	2	240	91.6	0.05	0.025	0.1	0.288	1.385
5	3	240	104.1	0.1	0.05	0.1	0.276	1.38
5	4	240	52	0.15	0.05	0.1	0.292	1.341
5	5	240	30.1	0.25	0.1	0.1	0.292	1.335
5	6	240	27.3	0.35	0.1	0.1	0.285	1.457
6	1	240	158.7	0.025	0.025	0.1	0.308	1.469
6	2	240	90.2	0.05	0.025	0.1	0.269	1.409
6	3	240	92.8	0.1	0.05	0.1	0.267	1.373
6	4	240	36.9	0.15	0.05	0.1	0.275	1.339
6	5	240	19.4	0.25	0.1	0.1	0.289	1.325
6	6	240	16.9	0.35	0.1	0.1	0.297	1.317
7	1	240	129.8	0.025	0.025	0.1	0.31	1.484
7	2	240	72.2	0.05	0.025	0.1	0.273	1.417
7	3	240	75.4	0.1	0.05	0.1	0.291	1.401
7	4	240	47.4	0.15	0.05	0.1	0.286	1.356
7	5	240	24.7	0.25	0.1	0.1	0.303	1.349
7	6	240	7.3	0.35	0.1	0.1	NaN	NaN
8	1	240	124.8	0.025	0.025	0.1	0.337	1.466
8	2	240	68.5	0.05	0.025	0.1	0.287	1.427
8	3	240	72.7	0.1	0.05	0.1	0.279	1.365
8	4	240	36	0.15	0.05	0.1	0.292	1.351
8	5	240	22.8	0.25	0.1	0.1	0.291	1.354
8	6	240	18.2	0.35	0.1	0.1	0.248	1.496
9	1	240	167.3	0.025	0.025	0.1	0.32	1.47
9	2	240	77.1	0.05	0.025	0.1	0.294	1.442
9	3	240	93.3	0.1	0.05	0.1	0.278	1.383
9	4	240	33.1	0.15	0.05	0.1	0.291	1.362
9	5	240	25.1	0.25	0.1	0.1	0.302	1.355
9	6	240	19.6	0.35	0.1	0.1	0.301	1.331
10	1	240	172.7	0.025	0.025	0.1	0.356	1.598
10	2	240	122.5	0.05	0.025	0.1	0.287	1.523
10	3	240	136.2	0.1	0.05	0.1	0.287	1.467
10	4	240	76	0.15	0.05	0.1	0.296	1.427
10	5	240	45.8	0.25	0.1	0.1	0.29	1.391
10	6	240	41.3	0.35	0.1	0.1	0.323	1.355
11	1	300	160	0.025	0.025	0.1	0.289	1.56
11	2	300	136.4	0.05	0.025	0.1	0.248	1.468
11	3	300	153.1	0.1	0.05	0.1	0.249	1.427
11	4	300	77.9	0.15	0.05	0.1	0.257	1.373
11	5	300	35.5	0.25	0.1	0.1	0.273	1.352
11	6	300	27.8	0.35	0.1	0.1	0.292	1.348
12	1	240	114.9	0.025	0.025	0.1	0.429	1.605
12	2	240	77.8	0.05	0.025	0.1	0.361	1.606
12	3	240	105.6	0.1	0.05	0.1	0.37	1.51
12	4	240	68.8	0.15	0.05	0.1	0.376	1.495
12	5	240	44.3	0.25	0.1	0.1	0.373	1.442
12	6	240	47.1	0.35	0.1	0.1	0.395	1.413
13	1	240	144.2	0.025	0.025	0.1	0.445	1.579
13	2	240	105.7	0.05	0.025	0.1	0.358	1.622
13	3	240	143.2	0.1	0.05	0.1	0.36	1.512
13	4	240	89.8	0.15	0.05	0.1	0.372	1.492
13	5	240	65.5	0.25	0.1	0.1	0.368	1.467
13	6	240	65.4	0.35	0.1	0.1	0.386	1.4
14	1	240	117.9	0.025	0.025	0.1	0.439	1.642
14	2	240	88	0.05	0.025	0.1	0.358	1.627
14	3	240	119.8	0.1	0.05	0.1	0.35	1.55
14	4	240	75.5	0.15	0.05	0.1	0.362	1.505
14	5	240	54.4	0.25	0.1	0.1	0.361	1.462
14	6	240	54.6	0.35	0.1	0.1	0.396	1.379
