IntervalN	TrapN	Duration_s	Weight_g	TopHeight_m	HeightTrap_m	WidthTrap_m
1	1	120	105.1	0.025	0.025	0.1
1	2	120	73.9	0.05	0.025	0.1
1	3	120	64.1	0.1	0.05	0.1
1	4	120	36.4	0.15	0.05	0.1
1	5	120	31.6	0.25	0.1	0.1
1	6	120	38.7	0.35	0.1	0.1
2	1	180	206.5	0.025	0.025	0.1
2	2	180	121	0.05	0.025	0.1
2	3	180	92.5	0.1	0.05	0.1
2	4	180	45.6	0.15	0.05	0.1
2	5	180	40.2	0.25	0.1	0.1
2	6	180	32.1	0.35	0.1	0.1
3	1	240	139	0.025	0.025	0.1
3	3	240	112.7	0.1	0.05	0.1
3	4	240	54.7	0.15	0.05	0.1
3	5	240	40.9	0.25	0.1	0.1
3	6	240	22.2	0.35	0.1	0.1
4	1	170	148.8	0.025	0.025	0.1
4	2	170	76.5	0.05	0.025	0.1
4	3	170	89.1	0.1	0.05	0.1
4	4	170	45.1	0.15	0.05	0.1
4	5	170	17.8	0.25	0.1	0.1
4	6	170	16.7	0.35	0.1	0.1
5	1	240	165.8	0.025	0.025	0.1
5	2	240	91.6	0.05	0.025	0.1
5	3	240	104.1	0.1	0.05	0.1
5	4	240	52	0.15	0.05	0.1
5	5	240	30.1	0.25	0.1	0.1
5	6	240	27.3	0.35	0.1	0.1
6	1	240	158.7	0.025	0.025	0.1
6	2	240	90.2	0.05	0.025	0.1
6	3	240	92.8	0.1	0.05	0.1
6	4	240	36.9	0.15	0.05	0.1
6	5	240	19.4	0.25	0.1	0.1
6	6	240	16.9	0.35	0.1	0.1
7	1	240	129.8	0.025	0.025	0.1
7	2	240	72.2	0.05	0.025	0.1
7	3	240	75.4	0.1	0.05	0.1
7	4	240	47.4	0.15	0.05	0.1
7	5	240	24.7	0.25	0.1	0.1
7	6	240	7.3	0.35	0.1	0.1
8	1	240	124.8	0.025	0.025	0.1
8	2	240	68.5	0.05	0.025	0.1
8	3	240	72.7	0.1	0.05	0.1
8	4	240	36	0.15	0.05	0.1
8	5	240	22.8	0.25	0.1	0.1
8	6	240	18.2	0.35	0.1	0.1
9	1	240	167.3	0.025	0.025	0.1
9	2	240	77.1	0.05	0.025	0.1
9	3	240	93.3	0.1	0.05	0.1
9	4	240	33.1	0.15	0.05	0.1
9	5	240	25.1	0.25	0.1	0.1
9	6	240	19.6	0.35	0.1	0.1
10	1	240	172.7	0.025	0.025	0.1
10	2	240	122.5	0.05	0.025	0.1
10	3	240	136.2	0.1	0.05	0.1
10	4	240	76	0.15	0.05	0.1
10	5	240	45.8	0.25	0.1	0.1
10	6	240	41.3	0.35	0.1	0.1
11	1	300	160	0.025	0.025	0.1
11	2	300	136.4	0.05	0.025	0.1
11	3	300	153.1	0.1	0.05	0.1
11	4	300	77.9	0.15	0.05	0.1
11	5	300	35.5	0.25	0.1	0.1
11	6	300	27.8	0.35	0.1	0.1
12	1	240	114.9	0.025	0.025	0.1
12	2	240	77.8	0.05	0.025	0.1
12	3	240	105.6	0.1	0.05	0.1
12	4	240	68.8	0.15	0.05	0.1
12	5	240	44.3	0.25	0.1	0.1
12	6	240	47.1	0.35	0.1	0.1
13	1	240	144.2	0.025	0.025	0.1
13	2	240	105.7	0.05	0.025	0.1
13	3	240	143.2	0.1	0.05	0.1
13	4	240	89.8	0.15	0.05	0.1
13	5	240	65.5	0.25	0.1	0.1
13	6	240	65.4	0.35	0.1	0.1
14	1	240	117.9	0.025	0.025	0.1
14	2	240	88	0.05	0.025	0.1
14	3	240	119.8	0.1	0.05	0.1
14	4	240	75.5	0.15	0.05	0.1
14	5	240	54.4	0.25	0.1	0.1
14	6	240	54.6	0.35	0.1	0.1
