Zcm1a	MF1a	Zcm1b	MF1b	Zcm1c	MF1c	Zcm2	MF2	Zcm3	MF3	Zcm4	MF4	Zcm5a	MF5a	Zcm5b	MF5b	Zcm6a	MF6a	Zcm6b	MF6b
1.55069	0.00993390494440351	1.48832	0.0191095297497044	1.41632	0.0126692235677522	1.38845	1.26406672729655E-4	1.48066	0.00617674966004798	1.45	0.00106441258314473	1.39979	0.0217170084334799	1.3994	0.0219973315161798	1.26012	0.00828895916273106	1.48499	0.00536364468172074
3.55521	0.00584992098368635	3.58727	0.00816826840497395	3.28765	0.00915545642569974	3.43565	7.35055277413854E-5	3.52393	0.0040834759301087	3.41182	6.34789888050221E-4	3.45211	0.0106880874857773	3.40982	0.0106858727944809	3.35002	0.00475948541167807	3.35986	0.00345334525526166
5.4712	0.00391507422353851	5.32501	0.00733753186013093	5.37125	0.00645505578769006	5.3477	5.5928091546353E-5	5.47867	0.00306803281203684	5.45509	4.19662342039832E-4	5.6207	0.00744269119438564	5.6207	0.00744269119438564	5.34785	0.00348594074036766	5.48261	0.00269854708401676
7.5125	0.00275981518574164	7.49478	0.00491643158409066	7.41294	0.00449231291800194	7.46966	4.48404538880908E-5	7.47768	0.00216227038425421	7.45331	3.0345898438888E-4	7.45878	0.00400313282178023	7.41688	0.00395129995931067	7.34724	0.00242549285710942	7.39702	0.00190112205437235
9.55459	0.00189613825369567	9.3665	0.00350759950405914	9.32735	0.00316475431005647	9.50703	3.5936021962257E-5	9.43321	0.00158339766441624	9.57842	2.19558371050557E-4	9.53491	0.00360172043567033	9.53451	0.00364821143274494	9.30277	0.00177615147160699	9.39484	0.00139241919000052
11.5524	0.00138880093430263	11.6624	0.00241284820048401	11.4117	0.00217480338353129	11.4598	2.87885638401851E-5	11.5587	0.00113101925859265	11.5351	1.54710574916013E-4	11.5331	0.00260435390455169	11.4908	0.00260387420901644	11.4283	0.00126873231026539	11.3516	9.81160373791737E-4
13.598	8.50099968333736E-4	13.6179	0.00176689198217688	13.2459	0.00132993372752748	13.6319	1.786035142789E-5	13.5597	7.47584003588432E-4	13.5752	1.13336553014969E-4	13.3625	0.00185771890200477	13.3202	0.00185733396186566	13.2608	8.16695194175666E-4	13.2667	6.73705355945893E-4
15.684	5.54957851322682E-4	15.7466	0.00113896400718922	15.2437	9.7406962345169E-4	15.5882	1.27476461560401E-5	15.7721	4.94629483621051E-4	15.6632	6.93904973073164E-5	15.2888	8.90573975591347E-4	15.3307	9.02256459551348E-4	15.3891	5.33248938986488E-4	15.2677	4.45297236579649E-4
17.6403	3.96095583490633E-4	17.7052	7.52679347939416E-4	17.0731	6.94816302881219E-4	17.5438	9.33490709453543E-6	17.6885	3.26805983919044E-4	17.6199	4.88944989474797E-5	17.2238	0.00127098375593208	17.1815	0.00127072039387914	17.1312	4.15948919041039E-4	17.0568	2.97837926683691E-4
19.769	2.55328915153389E-4	19.7888	5.30676675774772E-4	19.0753	4.41916278907826E-4			19.7745	2.13343787073177E-4	19.7493	3.07199143141055E-5	19.1508	5.93854429255933E-4	19.1085	5.93745047302195E-4	19.0468	2.81968114347069E-4	19.1009	1.9191547710041E-4
21.7707	1.64490189147778E-4	21.8325	3.46361809608117E-4	20.9921	2.88257091295418E-4			21.6913	1.39161787974075E-4	21.7495	2.08329129899E-5	21.0806	2.53641317269144E-4	21.0802	2.56915318666469E-4	21.0477	1.86376005719088E-4	21.0188	1.2045643340557E-4
23.8136	1.10151394595349E-4	23.8343	2.23141321112966E-4	22.8665	1.87987944830238E-4			23.8211	8.63177278799814E-5	23.8374	1.27546927124986E-5	22.9397	2.72841230808192E-4	22.9397	2.72841230808192E-4	22.921	1.26316475667591E-4	23.0214	7.56345104083342E-5
25.7304	7.18488795662545E-5	25.7929	1.4745856390318E-4	24.8264	1.19539105025296E-4			25.739	5.41776296377342E-5	25.7558	7.90350987034431E-6	24.9	1.71285263453822E-4	24.8996	1.73496213144223E-4	24.8813	7.92994180138845E-5	24.7705	4.68295516682553E-5
27.8579	4.81326751658237E-5	27.8797	9.38253082712632E-5	26.7831	8.42306204977396E-5			27.8364	2.43781081836875E-5	27.8006	4.96363684884558E-6	26.8159	1.14633090205858E-4	26.8582	1.14654208346425E-4	26.7573	4.91281035769919E-5	26.7747	2.79337987543534E-5
29.7754	3.06013087014476E-5	29.8818	5.96732923772881E-5	28.956	5.09330871057195E-5			29.8722	2.05664815360911E-5	29.7692	2.38001667585285E-6	28.9442	7.48479655089876E-5	28.9442	7.48479655089876E-5	28.8844	3.33364999004814E-5	28.9037	1.7777062528734E-5
31.9883	1.99889508444552E-5	31.9243	4.04762248687873E-5	30.8744	3.15609451157293E-5			32.5104	1.24634994827272E-5	31.8919	1.85985891158229E-6	30.9416	5.55290188588964E-5	30.9412	5.62457872753893E-5	30.7597	2.11899533204306E-5	30.8636	1.13042043551389E-5
34.0311	1.3385358272357E-5	33.8438	2.4134038432821E-5	32.8401	1.65554122619638E-5			34.0136	5.96293396653412E-6	33.9423	9.75977936780721E-7	32.9031	3.3543625444896E-5	32.9454	3.35505774998897E-5	32.8041	1.34796929610357E-5	32.8266	6.48694177738617E-6
36.1614	8.19671811569078E-6	36.0587	1.47849547606579E-5	34.798	1.12248358842033E-5			36.0913	5.09659354684335E-6			34.9009	2.45685768255409E-5	34.9432	2.45736687646186E-5	34.7636	8.68240419827364E-6	34.7876	3.96917274009473E-6
38.0789	5.2112271036849E-6	38.1383	1.18514093773238E-5	36.6697	8.00829384222157E-6			38.4698	3.73964175281007E-6			36.8224	1.37388379169001E-5	36.8224	1.37388379169001E-5	36.8073	5.66682759417053E-6	36.7095	2.19124026666186E-6
40.1242	3.2310970292727E-6	40.1397	7.73356962824649E-6	38.7189	4.36737013523794E-6			40.5719	1.44254709326999E-6			38.7728	1.18869380680191E-5	38.7728	1.18869380680191E-5	38.811	3.423812711558E-6	38.6975	2.21197390895558E-6
