Dcorr	q0to1cm	q1to2cm	q2to4cm	q4to7cm	q7to13cm	q13to33cm
	kg/m2/s	kg/m2/s	kg/m2/s	kg/m2/s	kg/m2/s	kg/m2/s
114.564392373896	5.14422552517317E-6	1.15095937738551E-5	9.75711120285892E-6	7.46244684009048E-6	0	0
136.473440639562	4.92538291969134E-5	3.43914114525636E-5	5.04219915935195E-5	5.08570605058891E-5	3.72435654185658E-5	1.66989819647314E-5
162.397660081665	1.12442372366897E-4	1.0643390586678E-4	1.56019900164154E-4	1.21258238417583E-4	1.10326858077987E-4	4.94743384442443E-5
192.795228156716	5.86084181680066E-4	5.793219715466E-4	7.45452534504115E-4	5.31142746214224E-4	6.00760334431118E-4	2.6929605767757E-4
229.128784747792	0.00107658667446666	9.34114255736479E-4	0.00115090637496784	8.56547111204864E-4	6.55030089737176E-4	3.34633946785916E-4
272.488531868774	0.00149780749687208	0.00127358518944138	0.00145757192872944	9.22382924885641E-4	6.26067630923609E-4	2.85042747616525E-4
324.249903623733	9.28773894552095E-4	6.93234231853853E-4	7.5964379661385E-4	2.8541793173189E-4	1.77607479220807E-4	8.08518563410818E-5
385.590456313431	6.8523572977166E-4	3.94094160732286E-4	3.4752815574975E-4	1.25008992410866E-4	4.6191413300118E-5	1.76729885328899E-5
458.257569495584	4.24903198210778E-4	2.05390333458866E-4	1.58968104437425E-4	3.39594974509309E-5	7.7800296191409E-6	2.97673377860764E-6
531	1.94388245523217E-4	9.39506956185668E-5	5.85261553383291E-5	1.05085127311668E-5	0	0
