Dcorr	qTot0to1cm	qTot1to2cm	qTot2to4c	qTot4to7cm	qTot7to13cm	qTot13to33c
	kg/m2/s	kg/m2/s	kg/m2/s	kg/m/s	kg/m/s	kg/m/s
114.564392373896	6.11476822320306E-7	2.89267738312009E-7	5.78535476624018E-7	3.19875704003127E-7	2.92052716662179E-7	0
136.473440639562	2.45521766425199E-6	9.05023799416353E-7	1.18013039399133E-6	1.59067426462658E-6	1.45228298902334E-6	9.73509055540597E-7
162.397660081665	5.00829613139041E-6	2.63663492216546E-6	3.43811180602441E-6	3.13113112073356E-6	2.66201960978525E-6	1.49313816286312E-6
192.795228156716	2.31915619860675E-5	1.05869289867316E-5	2.04324288676393E-5	1.79560685500907E-5	1.58198095329928E-5	7.69431559545887E-6
229.128784747792	2.77153265537063E-5	1.51206339554509E-5	1.64983303624285E-5	1.86076382648537E-5	1.63938610719621E-5	7.69431559545887E-6
272.488531868774	3.96981254671447E-5	1.57590487863658E-5	2.13211190765077E-5	1.81126191215341E-5	1.59985731139845E-5	7.29054501222026E-6
324.249903623733	2.68540627871128E-5	8.02268979289011E-6	8.16845640691569E-6	6.69716894483006E-6	5.1315817316428E-6	1.69840005672892E-6
385.590456313431	1.46781053344101E-5	3.8040831393319E-6	2.81306647923109E-6	1.86350797086007E-6	1.15372220252241E-6	0
458.257569495584	4.87831679814941E-6	1.26429959844034E-6	8.40407647385073E-7	3.15298028155865E-7	0	0
531	9.18248018820703E-7	5.78562125557174E-7	0	0	0	0
