Site,Date,N,Q,fQ,ust,zU,zBSNE,zW,d10_surface,d50_surface,d90_surface,d10_airborne,d50_airborne,d90_airborne
Jericoacoara,13-Nov-2014,4,2.3-14.1,0.69-0.98,0.36-0.41,0.48,0.12-0.52,0.03-0.28,0.11,0.54,0.92,0.12,0.29,0.55
Jericoacoara,14-Nov-2014,8,26.5-36.1,1.00-1.00,0.44-0.49,0.47,0.12-0.56,0.02-0.25,0.14,0.62,0.97,0.17,0.34,0.57
Jericoacoara,20-Nov-2014,2,20.9-40.3,1.00-1.00,0.43-0.52,0.46,0.10-0.52,0.11-0.29,0.11,0.54,0.89,0.13,0.28,0.52
RanchoGuadalupe,23-Mar-2015,4,2.7-32.2,0.74-1.00,0.31-0.47,0.45,0.10-0.70,0.02-0.25,0.21,0.52,0.83,0.25,0.38,0.56
RanchoGuadalupe,24-Mar-2015,6,18.6-44.0,0.95-1.00,0.45-0.55,0.43,0.08-0.70,0.08-0.32,0.23,0.54,0.85,0.23,0.40,0.59
Oceano,15-May-2015,14,1.0-17.9,0.50-1.00,0.28-0.43,0.64,0.05-0.46,0.07-0.47,0.18,0.33,0.56,0.15,0.22,0.34
Oceano,16-May-2015,11,0.3-9.0,0.13-0.69,0.26-0.33,0.64,0.07-0.32,0.08-0.47,0.18,0.34,0.57,0.15,0.23,0.36
Oceano,18-May-2015,12,1.8-16.0,0.52-0.99,0.30-0.35,0.64,0.06-0.31,0.07-0.47,0.18,0.35,0.58,0.16,0.25,0.40
Oceano,19-May-2015,10,0.4-34.2,0.26-1.00,0.31-0.48,0.64,0.07-0.31,0.06-0.46,0.18,0.35,0.59,0.15,0.23,0.37
Oceano,23-May-2015,12,3.9-25.0,0.64-1.00,0.32-0.43,0.64,0.06-0.32,0.06-0.45,0.19,0.41,0.65,0.16,0.25,0.42
Oceano,24-May-2015,8,0.1-10.5,0.07-0.83,0.28-0.35,0.64,0.07-0.31,0.06-0.46,0.19,0.39,0.64,0.16,0.25,0.45
Oceano,27-May-2015,11,0.1-6.1,0.14-0.76,0.27-0.33,0.64,0.06-0.31,0.07-0.47,0.19,0.42,0.67,0.16,0.25,0.42
Oceano,28-May-2015,8,0.0-1.0,0.00-0.33,0.25-0.32,0.64,0.06-0.31,0.07-0.46,0.20,0.44,0.69,NaN,NaN,NaN
Oceano,01-Jun-2015,2,0.8-2.1,0.28-0.48,0.28-0.29,0.64,0.06-0.31,0.07-0.33,0.22,0.48,0.69,NaN,NaN,NaN
Oceano,02-Jun-2015,11,0.2-32.2,0.18-1.00,0.30-0.52,0.64,0.06-0.31,0.06-0.46,0.19,0.40,0.66,0.16,0.24,0.39
Oceano,03-Jun-2015,12,0.5-34.3,0.14-1.00,0.31-0.42,0.64,0.07-0.34,0.06-0.46,0.19,0.42,0.68,0.16,0.24,0.38
Oceano,04-Jun-2015,4,0.0-2.5,0.00-0.34,0.29-0.34,0.64,0.08-0.33,0.08-0.35,0.20,0.43,0.69,NaN,NaN,NaN
