t,n,u
0,34.5,7.765
2,61,8.34
4,56.5,7.264
6,25.5,6.081
8,38.5,7.025
10,34,6.542
12,18.5,6.958
14,11.5,7.066
16,3.5,6.757
18,4,7.023
20,1.5,7.288
22,19,7.915
24,11.5,6.819
26,8.5,7.215
28,14.5,6.976
30,27.5,6.29
32,8.5,7.108
34,8,6.087
36,1,6.382
38,0,6.982
40,0,7.207
42,0,6.368
44,0,5.554
46,0,5.676
48,0.5,5.701
50,1,7.009
52,0.5,6.773
54,0,7.997
56,4,7.638
58,8,7.551
60,17,6.844
62,8.5,6.74
64,7.5,6.521
66,3.5,6.33
68,1,7.102
70,32,7.371
72,15.5,7.034
74,20.5,8.072
76,21,7.413
78,36.5,6.501
80,46,7.504
82,50.5,7.096
84,41.5,7.72
86,55.5,7.526
88,50,7.577
90,33,7.455
92,50.5,7.677
94,72,7.51
96,42,7.198
98,41.5,7.697
100,62.5,6.284
102,16.5,6.264
104,26,6.989
106,40,6.803
108,47.5,7.641
110,56.5,7.682
112,37,6.794
114,21,6.463
116,9.5,6.258
118,7.5,6.439
120,3.5,6.579
122,0.5,5.277
124,0,4.929
126,0,5.655
128,0,7.119
130,0,5.72
132,0,6.336
134,0.5,7.254
136,4,5.872
138,2,6.091
140,1,5.954
142,5,7.529
144,6,7.171
146,4.5,7.981
148,8.5,7.123
150,27.5,7.262
152,32.5,7.762
154,74,8.038
156,63.5,7.584
158,51,6.679
160,22.5,7.156
162,19,6.829
164,34,7.762
166,43.5,7.31
168,17.5,6.633
170,12,7.478
172,12,6.038
174,4,7.184
176,1.5,8.119
178,3.5,7.352
180,1,6.839
182,3,6.377
184,9.5,7.057
186,4.5,7.342
188,2,6.598
190,1,7.402
192,1.5,7.08
194,1,7.056
196,0,6.227
198,0.5,5.809
200,0,6.27
202,0,5.733
204,0,5.57
206,0.5,6.607
208,0,7.698
210,0,7.39
212,0,6.295
214,0.5,6.76
216,0,6.897
218,1,5.945
220,0,6.576
222,0,6.824
224,0,6.516
226,0,6.612
228,0,6.563
230,0,7.965
232,2,7.395
234,1.5,6.631
236,1.5,6.379
238,4,6.481
240,4.5,6.07
242,3,7.782
244,2,6.852
246,3.5,6.597
248,3,6.874
250,1,6.318
252,1,5.55
254,0.5,6.108
256,1,6.849
258,4,7.38
260,2.5,6.515
262,0.5,6.411
264,6,6.515
266,3.5,6.689
268,25,7.119
270,7,6.74
272,4.5,6.48
274,1,6.479
276,1,6.296
278,0,6.152
280,0.5,6.06
282,0,8.272
284,14.5,8.362
286,131,8.696
288,99.5,6.913
290,58,7.69
292,67.5,6.409
294,35.5,7.269
296,25,7.879
298,37.5,7.676
