t,n
0,25
0.04,25
0.08,0
0.12,50
0.16,0
0.2,25
0.24,50
0.28,50
0.32,25
0.36,25
0.4,50
0.44,25
0.48,0
0.52,100
0.56,0
0.6,75
0.64,0
0.68,25
0.72,25
0.76,0
0.8,25
0.84,50
0.88,0
0.92,25
0.96,100
1,50
1.04,25
1.08,25
1.12,25
1.16,25
1.2,0
1.24,25
1.28,25
1.32,50
1.36,100
1.4,0
1.44,25
1.48,50
1.52,50
1.56,75
1.6,25
1.64,25
1.68,50
1.72,50
1.76,75
1.8,25
1.84,75
1.88,25
1.92,50
1.96,0
2,175
2.04,75
2.08,25
2.12,0
2.16,50
2.2,50
2.24,50
2.28,75
2.32,50
2.36,50
2.4,25
2.44,50
2.48,75
2.52,50
2.56,25
2.6,25
2.64,50
2.68,0
2.72,0
2.76,25
2.8,75
2.84,50
2.88,100
2.92,25
2.96,100
3,25
3.04,75
3.08,50
3.12,150
3.16,50
3.2,75
3.24,125
3.28,100
3.32,125
3.36,25
3.4,100
3.44,75
3.48,50
3.52,0
3.56,75
3.6,25
3.64,75
3.68,75
3.72,50
3.76,75
3.8,75
3.84,25
3.88,150
3.92,50
3.96,75
4,150
4.04,75
4.08,75
4.12,75
4.16,50
4.2,25
4.24,50
4.28,25
4.32,0
4.36,75
4.4,50
4.44,125
4.48,25
4.52,50
4.56,100
4.6,100
4.64,25
4.68,150
4.72,100
4.76,75
4.8,125
4.84,50
4.88,50
4.92,75
4.96,0
5,75
5.04,125
5.08,50
5.12,25
5.16,25
5.2,100
5.24,0
5.28,50
5.32,50
5.36,25
5.4,25
5.44,75
5.48,0
5.52,100
5.56,50
5.6,50
5.64,0
5.68,100
5.72,25
5.76,25
5.8,25
5.84,25
5.88,0
5.92,100
5.96,0
6,0
6.04,25
6.08,25
6.12,0
6.16,25
6.2,25
6.24,0
6.28,25
6.32,75
6.36,0
6.4,25
6.44,50
6.48,100
6.52,0
6.56,0
6.6,25
6.64,25
6.68,25
6.72,25
6.76,100
6.8,50
6.84,50
6.88,25
6.92,0
6.96,25
7,0
7.04,0
7.08,0
7.12,0
7.16,50
7.2,50
7.24,0
7.28,25
7.32,0
7.36,0
7.4,0
7.44,25
7.48,0
7.52,75
7.56,25
7.6,0
7.64,0
7.68,25
7.72,25
7.76,50
7.8,100
7.84,25
7.88,0
7.92,0
7.96,75
8,125
8.04,75
8.08,0
8.12,50
8.16,50
8.2,25
8.24,25
8.28,75
8.32,25
8.36,25
8.4,0
8.44,25
8.48,25
8.52,25
8.56,50
8.6,0
8.64,200
8.68,75
8.72,100
8.76,25
8.8,50
8.84,25
8.88,75
8.92,25
8.96,50
9,100
9.04,0
9.08,0
9.12,25
9.16,0
9.2,25
9.24,25
9.28,50
9.32,25
9.36,75
9.4,0
9.44,0
9.48,25
9.52,0
9.56,0
9.6,0
9.64,100
9.68,50
9.72,25
9.76,75
9.8,25
9.84,25
9.88,25
9.92,0
9.96,25
10,75
10.04,25
10.08,0
10.12,50
10.16,50
10.2,25
10.24,0
10.28,0
10.32,100
10.36,25
10.4,50
10.44,0
10.48,75
10.52,75
10.56,50
10.6,0
10.64,25
10.68,50
10.72,125
10.76,50
10.8,50
10.84,0
10.88,25
10.92,125
10.96,0
11,0
11.04,25
11.08,50
11.12,50
11.16,0
11.2,25
11.24,0
11.28,0
11.32,100
11.36,25
11.4,50
11.44,0
11.48,0
11.52,0
11.56,75
11.6,25
11.64,75
11.68,0
11.72,25
11.76,0
11.8,25
11.84,0
11.88,100
11.92,0
11.96,0
12,25
12.04,50
12.08,25
12.12,125
12.16,0
12.2,0
12.24,25
12.28,50
12.32,0
12.36,25
12.4,25
12.44,0
12.48,75
12.52,25
12.56,25
12.6,0
12.64,0
12.68,25
12.72,0
12.76,0
12.8,0
12.84,25
12.88,25
12.92,0
12.96,0
13,50
13.04,25
13.08,25
13.12,50
13.16,25
13.2,0
13.24,25
13.28,0
13.32,0
13.36,0
13.4,25
13.44,0
13.48,0
13.52,50
13.56,0
13.6,0
13.64,25
13.68,0
13.72,0
13.76,25
13.8,0
13.84,0
13.88,0
13.92,25
13.96,25
14,0
14.04,25
14.08,0
14.12,50
14.16,25
14.2,25
14.24,25
14.28,25
14.32,25
14.36,50
14.4,25
14.44,50
14.48,0
14.52,25
14.56,0
14.6,0
14.64,50
14.68,0
14.72,0
14.76,0
14.8,25
14.84,0
14.88,75
14.92,0
14.96,25
15,0
15.04,0
15.08,0
15.12,0
15.16,0
15.2,0
15.24,0
15.28,0
15.32,0
15.36,25
15.4,0
15.44,25
15.48,0
15.52,0
15.56,0
15.6,0
15.64,0
15.68,0
15.72,0
15.76,0
15.8,0
15.84,0
15.88,0
15.92,0
15.96,0
16,0
16.04,0
16.08,0
16.12,0
16.16,0
16.2,0
16.24,0
16.28,0
16.32,0
16.36,0
16.4,0
16.44,0
16.48,0
16.52,0
16.56,25
16.6,0
16.64,0
16.68,0
16.72,0
16.76,0
16.8,0
16.84,25
16.88,0
16.92,25
16.96,0
17,0
17.04,25
17.08,0
17.12,0
17.16,0
17.2,0
17.24,0
17.28,0
17.32,25
17.36,0
17.4,0
17.44,0
17.48,25
17.52,0
17.56,0
17.6,0
17.64,0
17.68,0
17.72,0
17.76,0
17.8,0
17.84,0
17.88,25
17.92,0
17.96,0
18,0
18.04,0
18.08,25
18.12,0
18.16,0
18.2,0
18.24,25
18.28,0
18.32,0
18.36,0
18.4,0
18.44,25
18.48,0
18.52,0
18.56,0
18.6,0
18.64,0
18.68,0
18.72,0
18.76,0
18.8,0
18.84,0
18.88,25
18.92,0
18.96,0
19,0
19.04,25
19.08,0
19.12,0
19.16,0
19.2,0
19.24,25
19.28,25
19.32,0
19.36,0
19.4,25
19.44,0
19.48,0
19.52,0
19.56,0
19.6,0
19.64,0
19.68,0
19.72,0
19.76,0
19.8,0
19.84,0
19.88,0
19.92,0
19.96,0
20,0
20.04,0
20.08,0
20.12,0
20.16,0
20.2,0
20.24,0
20.28,0
20.32,0
20.36,0
20.4,0
20.44,0
20.48,0
20.52,0
20.56,0
20.6,0
20.64,0
20.68,0
20.72,0
20.76,0
20.8,0
20.84,25
20.88,0
20.92,0
20.96,0
21,0
21.04,25
21.08,0
21.12,0
21.16,0
21.2,0
21.24,0
21.28,0
21.32,0
21.36,0
21.4,0
21.44,0
21.48,25
21.52,0
21.56,0
21.6,0
21.64,0
21.68,0
21.72,0
21.76,0
21.8,0
21.84,0
21.88,0
21.92,0
21.96,0
22,0
22.04,0
22.08,0
22.12,0
22.16,0
22.2,0
22.24,0
22.28,0
22.32,0
22.36,25
22.4,50
22.44,25
22.48,0
22.52,25
22.56,0
22.6,25
22.64,25
22.68,0
22.72,25
22.76,25
22.8,0
22.84,25
22.88,25
22.92,0
22.96,50
23,0
23.04,0
23.08,0
23.12,0
23.16,25
23.2,75
23.24,50
23.28,0
23.32,50
23.36,50
23.4,50
23.44,0
23.48,0
23.52,25
23.56,75
23.6,0
23.64,0
23.68,50
23.72,0
23.76,25
23.8,75
23.84,0
23.88,25
23.92,50
23.96,0
24,25
24.04,75
24.08,0
24.12,25
24.16,50
24.2,25
24.24,25
24.28,0
24.32,0
24.36,0
24.4,0
24.44,25
24.48,25
24.52,0
24.56,0
24.6,0
24.64,0
24.68,0
24.72,25
24.76,25
24.8,0
24.84,25
24.88,0
24.92,75
24.96,0
25,0
25.04,0
25.08,0
25.12,0
25.16,0
25.2,25
25.24,0
25.28,0
25.32,25
25.36,0
25.4,0
25.44,0
25.48,0
25.52,0
25.56,0
25.6,25
25.64,0
25.68,25
25.72,0
25.76,0
25.8,0
25.84,25
25.88,0
25.92,0
25.96,25
26,0
26.04,0
26.08,25
26.12,0
26.16,0
26.2,0
26.24,0
26.28,0
26.32,0
26.36,0
26.4,0
26.44,0
26.48,0
26.52,0
26.56,0
26.6,0
26.64,0
26.68,0
26.72,0
26.76,0
26.8,0
26.84,0
26.88,0
26.92,0
26.96,0
27,0
27.04,25
27.08,0
27.12,0
27.16,25
27.2,0
27.24,0
27.28,0
27.32,0
27.36,25
27.4,0
27.44,25
27.48,0
27.52,25
27.56,50
27.6,25
27.64,50
27.68,75
27.72,25
27.76,0
27.8,0
27.84,0
27.88,25
27.92,25
27.96,0
28,0
28.04,0
28.08,25
28.12,0
28.16,0
28.2,0
28.24,25
28.28,0
28.32,0
28.36,0
28.4,0
28.44,25
28.48,0
28.52,0
28.56,0
28.6,50
28.64,25
28.68,0
28.72,25
28.76,0
28.8,25
28.84,25
28.88,0
28.92,0
28.96,0
29,0
29.04,25
29.08,25
29.12,0
29.16,0
29.2,0
29.24,25
29.28,0
29.32,25
29.36,75
29.4,0
29.44,25
29.48,25
29.52,25
29.56,25
29.6,50
29.64,25
29.68,25
29.72,0
29.76,25
29.8,25
29.84,25
29.88,25
29.92,0
29.96,25
30,50
30.04,75
30.08,0
30.12,125
30.16,25
30.2,0
30.24,75
30.28,50
30.32,50
30.36,25
30.4,25
30.44,25
30.48,25
30.52,50
30.56,0
30.6,25
30.64,25
30.68,50
30.72,25
30.76,75
30.8,25
30.84,0
30.88,0
30.92,0
30.96,50
31,25
31.04,25
31.08,75
31.12,0
31.16,100
31.2,50
31.24,25
31.28,25
31.32,50
31.36,50
31.4,0
31.44,0
31.48,25
31.52,0
31.56,0
31.6,25
31.64,0
31.68,0
31.72,25
31.76,0
31.8,0
31.84,0
31.88,0
31.92,0
31.96,0
32,75
32.04,0
32.08,0
32.12,25
32.16,0
32.2,25
32.24,0
32.28,0
32.32,25
32.36,25
32.4,0
32.44,0
32.48,25
32.52,0
32.56,25
32.6,0
32.64,25
32.68,0
32.72,0
32.76,0
32.8,0
32.84,0
32.88,0
32.92,25
32.96,0
33,25
33.04,0
33.08,0
33.12,0
33.16,0
33.2,0
33.24,0
33.28,0
33.32,0
33.36,25
33.4,0
33.44,0
33.48,25
33.52,0
33.56,0
33.6,0
33.64,0
33.68,25
33.72,0
33.76,25
33.8,0
33.84,0
33.88,25
33.92,0
33.96,0
34,0
34.04,25
34.08,0
34.12,0
34.16,0
34.2,25
34.24,50
34.28,25
34.32,0
34.36,25
34.4,0
34.44,25
34.48,25
34.52,0
34.56,25
34.6,50
34.64,0
34.68,0
34.72,0
34.76,0
34.8,0
34.84,0
34.88,0
34.92,25
34.96,0
35,0
35.04,0
35.08,0
35.12,0
35.16,0
35.2,25
35.24,0
35.28,25
35.32,0
35.36,0
