t,u
0,8.089
0.04,7.869
0.08,7.623
0.12,7.117
0.16,7.202
0.2,8.265
0.24,8.608
0.28,8.196
0.32,7.517
0.36,7.424
0.4,7.656
0.44,7.814
0.48,7.38
0.52,7.195
0.56,7.267
0.6,7.772
0.64,7.302
0.68,6.756
0.72,7.488
0.76,5.932
0.8,5.975
0.84,7.782
0.88,8.229
0.92,7.864
0.96,8.132
1,7.833
1.04,7.153
1.08,8.499
1.12,7.779
1.16,7.401
1.2,7.29
1.24,6.498
1.28,7.701
1.32,7.153
1.36,7.889
1.4,7.494
1.44,6.874
1.48,7.043
1.52,7.254
1.56,7.294
1.6,9.059
1.64,9.153
1.68,9.529
1.72,9.449
1.76,8.756
1.8,8.499
1.84,9.156
1.88,8.719
1.92,8.523
1.96,7.802
2,7.656
2.04,7.515
2.08,7.655
2.12,8.271
2.16,8.379
2.2,8.62
2.24,8.664
2.28,7.703
2.32,7.66
2.36,7.943
2.4,8.319
2.44,8.795
2.48,8.94
2.52,8.795
2.56,9.162
2.6,8.815
2.64,9.183
2.68,9.039
2.72,9.521
2.76,8.696
2.8,8.623
2.84,8.784
2.88,9.017
2.92,8.462
2.96,8.149
3,8.072
3.04,8.042
3.08,7.309
3.12,7.103
3.16,8.387
3.2,8.257
3.24,8.06
3.28,8.023
3.32,8.622
3.36,8.49
3.4,8.713
3.44,8.393
3.48,8.138
3.52,7.812
3.56,8.097
3.6,7.889
3.64,7.894
3.68,8.181
3.72,8.798
3.76,7.989
3.8,8.437
3.84,8.403
3.88,8.329
3.92,8.997
3.96,8.219
4,8.143
4.04,8.055
4.08,7.69
4.12,7.788
4.16,7.633
4.2,7.45
4.24,7.472
4.28,6.918
4.32,7.062
4.36,6.928
4.4,6.863
4.44,6.748
4.48,7.362
4.52,7.787
4.56,7.78
4.6,7.948
4.64,7.796
4.68,7.912
4.72,7.185
4.76,7.195
4.8,7.084
4.84,7.132
4.88,7.174
4.92,6.886
4.96,6.565
5,6.815
5.04,6.492
5.08,6.555
5.12,6.52
5.16,8.008
5.2,7.518
5.24,8.333
5.28,8.647
5.32,8.107
5.36,8.007
5.4,7.546
5.44,7.465
5.48,7.273
5.52,6.739
5.56,7.2
5.6,6.466
5.64,6.388
5.68,6.676
5.72,7.246
5.76,6.633
5.8,6.909
5.84,6.585
5.88,7.314
5.92,6.818
5.96,6.377
6,5.855
6.04,5.983
6.08,5.68
6.12,5.102
6.16,5.667
6.2,6.14
6.24,6.37
6.28,6.72
6.32,5.998
6.36,6.131
6.4,6.196
6.44,5.655
6.48,5.74
6.52,6.21
6.56,5.702
6.6,5.542
6.64,6.004
6.68,5.661
6.72,5.456
6.76,5.326
6.8,5.566
6.84,6.991
6.88,6.354
6.92,5.811
6.96,6.726
7,7.278
7.04,7.87
7.08,7.143
7.12,6.787
7.16,7.556
7.2,6.663
7.24,6.657
7.28,6.233
7.32,6.088
7.36,6.478
7.4,5.804
7.44,5.53
7.48,5.551
7.52,5.682
7.56,5.942
7.6,5.847
7.64,6.405
7.68,6.24
7.72,6.101
7.76,6.001
7.8,5.653
7.84,5.441
7.88,5.595
7.92,5.512
7.96,5.396
8,5.262
8.04,4.766
8.08,4.674
8.12,4.251
8.16,4.507
8.2,4.91
8.24,5.482
8.28,5.892
8.32,6.825
8.36,7.03
8.4,6.962
8.44,7.113
8.48,7.203
8.52,8.149
8.56,7.983
8.6,7.379
8.64,7.499
8.68,7.727
8.72,8.495
8.76,8.292
8.8,7.726
8.84,7.926
8.88,7.326
8.92,6.263
8.96,6.436
9,6.962
9.04,6.839
9.08,7.751
9.12,8.377
9.16,8.328
9.2,8.4
9.24,8.55
9.28,8.621
9.32,8.141
9.36,7.768
9.4,7.848
9.44,7.823
9.48,7.397
9.52,7.401
9.56,6.93
9.6,6.321
9.64,6.247
9.68,6.988
9.72,6.756
9.76,6.601
9.8,6.488
9.84,6.194
9.88,7.322
9.92,7.75
9.96,7.38
10,7.403
10.04,7.072
10.08,7.118
10.12,7.107
10.16,7.192
10.2,7.17
10.24,7.075
10.28,6.903
10.32,6.925
10.36,6.817
10.4,6.779
10.44,6.526
10.48,6.389
10.52,6.592
10.56,6.182
10.6,6.004
10.64,5.955
10.68,5.926
10.72,6.13
10.76,5.296
10.8,5.498
10.84,5.585
10.88,5.865
10.92,5.838
10.96,5.766
11,5.913
11.04,6.635
11.08,6.277
11.12,6.235
11.16,6.462
11.2,6.823
11.24,6.802
11.28,7.396
11.32,6.608
11.36,6.147
11.4,6.553
11.44,6.698
11.48,7.136
11.52,7.016
11.56,6.905
11.6,6.927
11.64,6.684
11.68,6.786
11.72,6.55
11.76,6.407
11.8,6.383
11.84,6.322
11.88,6.474
11.92,6.909
11.96,6.92
12,7.22
12.04,6.673
12.08,6.211
12.12,6.347
12.16,5.28
12.2,6.029
12.24,6.369
12.28,6.705
12.32,6.987
12.36,6.818
12.4,6.892
12.44,6.763
12.48,6.621
12.52,6.319
12.56,6.271
12.6,6.102
12.64,6.949
12.68,7.522
12.72,7.248
12.76,7.465
12.8,7.218
12.84,6.895
12.88,7.239
12.92,7.284
12.96,7.241
13,7.019
13.04,6.868
13.08,6.916
13.12,6.781
13.16,6.698
13.2,7.131
13.24,6.933
13.28,7.588
13.32,7.451
13.36,7.376
13.4,7.781
13.44,7.5
13.48,7.602
13.52,7.489
13.56,7.011
13.6,6.703
13.64,6.814
13.68,6.708
13.72,6.992
13.76,6.977
13.8,7.014
13.84,7.294
13.88,7.72
13.92,7.287
13.96,7.6
14,7.561
14.04,7.057
14.08,7.026
14.12,7.257
14.16,6.433
14.2,6.555
14.24,6.806
14.28,6.484
14.32,6.528
14.36,6.773
14.4,6.567
14.44,7.338
14.48,6.498
14.52,6.838
14.56,7.445
14.6,7.507
14.64,6.816
14.68,6.351
14.72,6.004
14.76,6.596
14.8,6.853
14.84,7.268
14.88,7.581
14.92,7.032
14.96,6.517
15,5.946
15.04,7.613
15.08,7.649
15.12,7.978
15.16,8.14
15.2,8.526
15.24,8.466
15.28,8.218
15.32,7.433
15.36,7.822
15.4,7.942
15.44,7.955
15.48,7.818
15.52,7.655
15.56,6.688
15.6,6.945
15.64,6.398
15.68,6.335
15.72,6.993
15.76,6.652
15.8,6.801
15.84,6.514
15.88,6.535
15.92,6.364
15.96,6.203
16,7.081
16.04,7.255
16.08,6.974
16.12,7.453
16.16,7.819
16.2,7.683
16.24,7.626
16.28,7.584
16.32,7.127
16.36,7.099
