Date,StartTime,EndTime,ust,sigma_ust,tau,sigma_tau,theta,zL,zq,sigma_zq,Q,sigma_Q,fQ
2014-11-13,10:48,11:18,0.405,0.005,0.191,0.004,  2.5,-0.021,0.086,0.003,14.44,0.56,0.976
2014-11-13,11:18,11:48,0.399,0.005,0.184,0.004,  6.2,-0.022,0.094,0.003,12.39,0.46,0.956
2014-11-13,12:01,12:31,0.363,0.005,0.153,0.004,  9.4,-0.029,0.104,0.005, 2.36,0.10,0.687
2014-11-13,12:31,13:01,0.394,0.005,0.180,0.004,  7.2,-0.021,0.097,0.004,11.22,0.47,0.898
2014-11-14,10:33,11:03,0.493,0.005,0.282,0.006, -2.5,-0.012,0.095,0.004,33.57,1.39,1.000
2014-11-14,11:03,11:33,0.471,0.005,0.258,0.006, -0.6,-0.013,0.088,0.003,36.13,1.57,1.000
2014-11-14,11:43,12:13,0.439,0.005,0.224,0.005,  1.1,-0.016,0.095,0.004,27.14,1.13,1.000
2014-11-14,12:13,12:43,0.470,0.005,0.256,0.006, -1.4,-0.014,0.090,0.003,34.58,1.48,1.000
2014-11-14,12:54,13:24,0.491,0.005,0.280,0.006, -0.1,-0.011,0.107,0.007,33.29,1.95,1.000
2014-11-14,13:24,13:54,0.483,0.005,0.271,0.006,  0.7,-0.011,0.084,0.004,42.24,2.89,1.000
2014-11-14,14:16,14:46,0.480,0.005,0.268,0.006, -3.1,-0.009,0.098,0.005,36.94,1.51,1.000
2014-11-14,14:46,15:16,0.470,0.005,0.256,0.006, -3.9,-0.008,0.091,0.004,31.32,1.35,1.000
2014-11-14,15:26,15:56,0.474,0.005,0.261,0.006, -5.9,-0.006,0.104,0.005,33.98,1.30,1.000
2014-11-14,15:56,16:26,0.490,0.005,0.278,0.006, -8.6,-0.003,0.113,0.006,35.73,1.30,1.000
2014-11-18,06:30,07:00,0.095,0.003,0.010,0.001,-99.5,-0.025,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,07:00,07:30,0.149,0.007,0.026,0.002,-45.9,-0.010,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,07:30,08:00,0.052,0.007,0.003,0.001, 14.1,-0.485,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,08:00,08:30,  NaN,  NaN,  NaN,0.003,  NaN,   NaN,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,08:30,09:00,0.124,0.007,0.018,0.002, 80.5,-0.186,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,09:00,09:30,0.114,0.008,0.015,0.002, 80.5,-0.319,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,09:30,10:00,0.197,0.005,0.045,0.002, 11.5,-0.099,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,10:00,10:30,0.212,0.004,0.052,0.002, 12.6,-0.083,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,10:30,11:00,0.232,0.004,0.063,0.002, 14.1,-0.073,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,11:00,11:30,0.253,0.005,0.074,0.003, 15.2,-0.064,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,11:30,12:00,0.251,0.005,0.073,0.003, 15.9,-0.065,  NaN,  NaN, 0.00,0.00,0.000
2014-11-18,12:00,12:30,0.255,0.004,0.076,0.002, 17.0,-0.063,  NaN,  NaN, 0.00,0.00,0.000
2014-11-20,10:10,10:40,0.434,0.006,0.219,0.006, -1.7,-0.009,0.103,0.004,21.44,0.84,0.997
2014-11-20,10:40,11:10,0.524,0.005,0.318,0.007, -1.6,-0.007,0.089,0.003,41.27,1.77,1.000
2014-11-20,11:20,11:50,0.529,0.005,0.324,0.007,  2.2,-0.008,0.096,0.004,26.42,1.51,1.000
2014-11-20,11:50,12:20,0.523,0.005,0.317,0.006, -0.3,-0.008,0.085,0.003,43.19,2.62,1.000
