Date,StartTime,EndTime,ust,sigma_ust,tau,sigma_tau,theta,zL,zq,sigma_zq,Q,sigma_Q,fQ
2015-05-15,11:55,12:25,0.278,0.005,0.094,0.003,  -1.0,-0.079,0.034,0.004, 2.41,0.85,0.498
2015-05-15,12:25,12:55,0.294,0.005,0.105,0.004,   1.3,-0.072,0.037,0.004, 3.36,1.15,0.666
2015-05-15,12:55,13:25,0.311,0.005,0.118,0.004,   0.9,-0.065,0.039,0.004,10.82,3.12,0.965
2015-05-15,13:59,14:29,0.397,0.006,0.192,0.006,  -3.9,-0.034,0.049,0.003, 5.12,0.80,1.000
2015-05-15,14:29,14:59,0.394,0.006,0.190,0.006,  -0.5,-0.032,0.052,0.004, 6.11,0.92,1.000
2015-05-15,14:59,15:29,0.425,0.006,0.221,0.006,  -0.8,-0.025,0.050,0.003, 8.61,1.32,1.000
2015-05-15,15:47,16:17,0.400,0.006,0.196,0.006,  -5.7,-0.026,0.050,0.003, 9.25,1.14,1.000
2015-05-15,16:17,16:47,0.400,0.006,0.195,0.005,  -1.5,-0.023,0.058,0.004, 9.85,1.11,1.000
2015-05-15,16:56,17:26,0.407,0.006,0.202,0.006,  -0.8,-0.019,0.058,0.003,12.78,1.28,1.000
2015-05-15,17:26,17:56,0.432,0.006,0.228,0.007,  -3.3,-0.013,0.059,0.003,14.41,1.43,1.000
2015-05-15,18:21,18:51,0.362,0.006,0.160,0.005, -12.7,-0.012,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-15,19:02,19:32,0.322,0.006,0.127,0.005, -13.7,-0.009,0.070,0.016, 1.42,0.14,0.887
2015-05-15,19:32,20:02,0.303,0.006,0.112,0.005, -17.3,-0.005,0.067,0.014, 0.59,0.07,0.573
2015-05-16,10:48,11:18,0.287,0.005,0.100,0.004,  -1.6,-0.064,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-16,11:30,12:00,0.240,0.005,0.070,0.003,   4.2,-0.115,0.000,0.000, 0.00,0.00,0.000
2015-05-16,12:00,12:30,0.236,0.005,0.068,0.003,   4.4,-0.135,0.000,0.000, 0.00,0.00,0.000
2015-05-16,12:30,13:00,0.281,0.007,0.096,0.005,   8.7,-0.087,0.052,0.003, 5.67,0.79,0.600
2015-05-16,13:09,13:39,0.328,0.007,0.131,0.005,   1.1,-0.059,0.048,0.003, 6.19,0.91,0.691
2015-05-16,14:15,14:45,0.310,0.006,0.117,0.004,   2.5,-0.063,0.043,0.003, 6.21,1.03,0.566
2015-05-16,14:45,15:15,0.298,0.005,0.108,0.004,   6.6,-0.067,0.048,0.004, 0.55,0.10,0.232
2015-05-16,15:15,15:45,0.294,0.005,0.105,0.004,   7.2,-0.064,0.048,0.003, 1.80,0.28,0.257
2015-05-16,15:45,16:15,0.304,0.006,0.113,0.004,  -1.7,-0.051,0.041,0.003, 4.31,0.76,0.471
2015-05-16,16:15,16:45,0.290,0.006,0.103,0.004,   2.5,-0.056,0.043,0.003, 3.60,0.63,0.391
2015-05-16,16:45,17:15,0.311,0.006,0.118,0.004,   4.2,-0.039,0.045,0.002, 6.74,1.04,0.569
2015-05-16,17:15,17:45,0.290,0.005,0.102,0.004,   4.0,-0.040,0.051,0.004, 0.36,0.06,0.137
2015-05-17,00:00,00:30,0.062,0.004,0.005,0.001,-101.6,-0.027,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,00:30,01:00,0.068,0.007,0.006,0.001,-101.6,-0.032,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,01:00,01:30,0.021,0.006,0.001,0.000,-101.6,-1.100,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,01:30,02:00,0.028,0.013,0.001,0.001,  78.4,-0.757,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,02:00,02:30,0.058,0.005,0.004,0.001, -17.4,-0.091,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,02:30,03:00,0.111,0.005,0.015,0.001, -38.8,-0.009,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,03:00,03:30,0.072,0.004,0.006,0.001, -63.3,-0.029,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,03:30,04:00,0.044,0.004,0.002,0.000, -45.0,-0.016,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,04:00,04:30,0.060,0.004,0.004,0.001,-101.6, 0.065,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,04:30,05:00,0.037,0.005,0.002,0.000,-101.6, 0.185,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,05:00,05:30,0.031,0.009,0.001,0.001,  78.4, 0.036,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,05:30,06:00,  NaN,  NaN,  NaN,0.001,   NaN,   NaN,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,06:00,06:30,0.013,0.007,0.000,0.000,  78.4,-0.275,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,06:30,07:00,0.026,0.004,0.001,0.000,  78.4,-0.811,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,07:00,07:30,0.031,0.011,0.001,0.001,-101.6,-0.653,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,07:30,08:00,0.092,0.010,0.010,0.002,   NaN,-0.067,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,08:00,08:30,0.129,0.017,0.020,0.005,  78.4,-0.034,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,08:30,09:00,0.069,0.010,0.006,0.002,  78.4,-0.312,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,09:00,09:30,0.102,0.012,0.013,0.003,   NaN,-0.088,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,09:30,10:00,0.223,0.012,0.060,0.006,  78.4,-0.021,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,10:00,10:30,0.162,0.005,0.032,0.002, -21.2,-0.078,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,10:30,11:00,0.150,0.005,0.028,0.002,  -7.7,-0.163,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,11:00,11:30,0.140,0.006,0.024,0.002,   1.0,-0.333,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,11:30,12:00,0.215,0.006,0.056,0.003,  12.4,-0.168,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,12:00,12:30,0.208,0.005,0.053,0.003,  17.2,-0.212,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,12:30,13:00,0.241,0.005,0.071,0.003,   7.6,-0.140,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,13:00,13:30,0.233,0.005,0.066,0.003,   6.3,-0.138,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,13:30,14:00,0.249,0.005,0.076,0.003,   9.7,-0.135,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,14:00,14:30,0.243,0.005,0.072,0.003,   9.9,-0.129,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,14:30,15:00,0.229,0.005,0.064,0.003,  10.0,-0.118,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,15:00,15:30,0.224,0.005,0.061,0.003,  13.6,-0.110,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,15:30,16:00,0.263,0.005,0.084,0.003,  -1.1,-0.081,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,16:00,16:30,0.304,0.006,0.113,0.004,  -3.2,-0.056,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,16:30,17:00,0.311,0.005,0.118,0.004,   3.1,-0.044,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,17:00,17:30,0.330,0.005,0.133,0.004,   1.7,-0.026,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,17:30,18:00,0.326,0.008,0.129,0.007,  -3.6,-0.022,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,18:00,18:30,0.345,0.006,0.145,0.005, -10.6,-0.013,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,18:30,19:00,0.300,0.006,0.110,0.004, -14.2,-0.012,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,19:00,19:30,0.285,0.007,0.099,0.005, -10.3,-0.010,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,19:30,20:00,0.266,0.005,0.087,0.003, -11.2,-0.008,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,20:00,20:30,0.249,0.005,0.076,0.003, -17.6,-0.007,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,20:30,21:00,0.217,0.005,0.057,0.003, -17.1,-0.007,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,21:00,21:30,0.212,0.005,0.055,0.002, -16.5,-0.006,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,21:30,22:00,0.175,0.004,0.037,0.002, -17.6, 0.000,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,22:00,22:30,0.166,0.005,0.034,0.002, -18.9, 0.003,  NaN,  NaN, 0.00,0.00,0.000
2015-05-17,22:30,23:00,0.173,0.004,0.037,0.002, -24.5, 0.005,  NaN,  NaN, 0.00,0.00,0.000
2015-05-18,11:33,12:03,0.300,0.006,0.110,0.004,   6.1,-0.071,0.049,0.002, 7.99,1.01,0.731
2015-05-18,12:03,12:33,0.327,0.007,0.131,0.005,   5.7,-0.061,0.048,0.002,10.80,1.37,0.751
2015-05-18,13:12,13:42,0.349,0.007,0.148,0.006,   5.3,-0.052,0.049,0.002,13.94,1.72,0.926
2015-05-18,13:42,14:12,0.345,0.008,0.145,0.007,  10.8,-0.057,0.054,0.003,13.49,1.60,0.911
2015-05-18,14:20,14:50,0.326,0.007,0.129,0.006,   4.2,-0.063,0.046,0.002,10.81,1.38,0.732
2015-05-18,14:50,15:20,0.304,0.005,0.113,0.004,   8.0,-0.069,0.052,0.003, 7.84,0.96,0.897
2015-05-18,15:31,16:01,0.346,0.005,0.146,0.004,   7.9,-0.047,0.050,0.002,15.71,1.91,0.982
2015-05-18,16:01,16:31,0.341,0.006,0.142,0.005,   4.5,-0.042,0.049,0.002,12.58,1.55,0.941
2015-05-18,16:41,17:11,0.324,0.005,0.128,0.004,   5.4,-0.042,0.052,0.003, 8.66,1.08,0.891
2015-05-18,17:11,17:41,0.290,0.005,0.103,0.004,   4.7,-0.043,0.058,0.004, 0.77,0.10,0.307
2015-05-19,11:28,11:58,0.171,0.006,0.036,0.002,  33.0,-0.330,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-19,11:58,12:28,0.160,0.009,0.031,0.004,  16.4,-0.443,  NaN,  NaN,  NaN, NaN,  NaN
2015-05-19,12:40,13:10,0.313,0.006,0.120,0.005,  -3.3,-0.078,0.063,0.004, 0.92,0.09,0.348
2015-05-19,13:10,13:40,0.355,0.006,0.153,0.005,   0.1,-0.053,0.054,0.003,10.96,1.08,0.881
2015-05-19,14:13,14:43,0.446,0.006,0.243,0.007,  -4.6,-0.029,0.049,0.002,24.94,2.50,0.998
2015-05-19,14:43,15:13,0.476,0.006,0.277,0.007,  -4.7,-0.022,0.050,0.002,28.45,2.83,1.000
2015-05-19,15:25,15:55,0.449,0.006,0.246,0.007,  -5.6,-0.023,0.046,0.002,30.10,3.14,1.000
2015-05-19,15:55,16:25,0.443,0.006,0.239,0.007,  -5.6,-0.022,0.048,0.002,25.22,2.57,1.000
2015-05-19,16:35,17:05,0.406,0.005,0.201,0.005,  -0.2,-0.022,0.051,0.002,18.62,1.89,1.000
2015-05-19,17:05,17:35,0.326,0.005,0.129,0.004,   6.8,-0.030,0.057,0.003,14.98,1.46,0.994
2015-05-20,10:27,10:57,0.127,0.006,0.020,0.002,   9.2,-0.463,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,10:57,11:27,0.121,0.009,0.018,0.003,  24.4,-0.699,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,11:27,11:57,0.082,0.016,0.008,0.003,  78.4,-2.268,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,11:57,12:27,0.112,0.014,0.015,0.004,  48.6,-0.989,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,12:27,12:57,0.152,0.010,0.028,0.004,  51.3,-0.486,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,12:57,13:27,0.172,0.006,0.036,0.003,  52.0,-0.373,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,13:27,13:57,0.172,0.007,0.036,0.003,  53.3,-0.388,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,13:57,14:27,0.172,0.007,0.036,0.003,  46.1,-0.351,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,14:27,14:57,0.156,0.008,0.030,0.003,  36.6,-0.467,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,14:57,15:27,0.163,0.007,0.032,0.003,  47.7,-0.371,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,15:27,15:57,0.177,0.007,0.038,0.003,  49.2,-0.283,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,15:57,16:27,0.207,0.005,0.052,0.003,  32.1,-0.187,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,16:27,16:57,0.206,0.005,0.052,0.003,  26.9,-0.163,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,16:57,17:27,0.203,0.005,0.050,0.002,  27.7,-0.141,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,17:27,17:57,0.215,0.004,0.056,0.002,  18.7,-0.111,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,17:57,18:27,0.213,0.004,0.055,0.002,  12.9,-0.084,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,18:27,18:57,0.193,0.004,0.046,0.002,  14.0,-0.072,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,18:57,19:27,0.176,0.004,0.038,0.002,  13.5,-0.059,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,19:27,19:57,0.154,0.003,0.029,0.001,   6.4,-0.038,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,19:57,20:27,0.177,0.004,0.038,0.002,   5.2,-0.012,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,20:27,20:57,0.187,0.004,0.043,0.002,   4.1,-0.003,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,20:57,21:27,0.189,0.004,0.043,0.002,  -5.8, 0.002,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,21:27,21:57,0.172,0.004,0.036,0.002, -13.6, 0.007,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,21:57,22:27,0.168,0.006,0.035,0.003,  -9.8,-0.003,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,22:27,22:57,0.134,0.004,0.022,0.001,  -3.4,-0.017,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,22:57,23:27,0.174,0.005,0.037,0.002,  -9.3, 0.000,  NaN,  NaN, 0.00,0.00,0.000
2015-05-20,23:27,23:57,0.155,0.004,0.029,0.002, -11.9, 0.011,  NaN,  NaN, 0.00,0.00,0.000
2015-05-21,11:13,11:43,0.134,0.010,0.022,0.003,  51.1,-0.517,  NaN,  NaN, 0.00,0.00,0.000
2015-05-21,11:43,12:13,0.182,0.007,0.040,0.003,  51.4,-0.296,  NaN,  NaN, 0.00,0.00,0.000
2015-05-21,12:13,12:43,0.174,0.007,0.037,0.003,  50.7,-0.332,  NaN,  NaN, 0.00,0.00,0.000
2015-05-21,12:43,13:13,0.181,0.007,0.040,0.003,  46.6,-0.310,  NaN,  NaN, 0.00,0.00,0.000
2015-05-21,13:13,13:43,0.176,0.006,0.038,0.003,  48.2,-0.327,  NaN,  NaN, 0.00,0.00,0.000
