Date,StartTime,EndTime,ust,sigma_ust,tau,sigma_tau,theta,zL,zq,sigma_zq,Q,sigma_Q,fQ
2015-03-23,12:28,12:58,0.308,0.005,0.116,0.003, 12.0,-0.036,0.108,0.005, 2.71,0.11,0.738
2015-03-23,12:58,13:28,0.358,0.005,0.157,0.004, 10.6,-0.026,0.101,0.005, 7.98,0.33,0.841
2015-03-23,13:42,14:12,0.467,0.005,0.267,0.006,  8.6,-0.013,0.099,0.008,26.29,1.42,0.999
2015-03-23,14:52,15:22,0.471,0.005,0.271,0.006,  8.0,-0.011,0.088,0.004,32.82,1.95,0.999
2015-03-23,15:22,15:52,0.462,0.006,0.260,0.006,  3.7,-0.010,0.114,0.007,26.48,1.32,0.988
2015-03-23,16:15,16:45,0.487,0.006,0.289,0.008, -0.8,-0.006,0.099,0.005,32.93,1.63,0.952
2015-03-23,16:45,17:15,0.482,0.006,0.283,0.008, -1.7,-0.004,0.114,0.006,27.84,1.25,0.939
2015-03-23,17:29,17:59,0.463,0.006,0.261,0.007, -4.3,-0.004,0.103,0.005,20.28,0.91,0.884
2015-03-23,17:59,18:29,0.446,0.007,0.243,0.007, -8.5,-0.003,0.121,0.006,17.08,0.70,0.830
2015-03-24,11:34,12:04,0.286,0.007,0.100,0.005,-20.3,-0.036,  NaN,  NaN,  NaN, NaN,  NaN
2015-03-24,12:04,12:34,0.276,0.006,0.093,0.004, -8.7,-0.045,  NaN,  NaN,  NaN, NaN,  NaN
2015-03-24,12:34,13:04,0.313,0.005,0.120,0.004, -5.4,-0.035,  NaN,  NaN,  NaN, NaN,  NaN
2015-03-24,13:31,14:01,0.449,0.006,0.246,0.006,  0.3,-0.014,0.108,0.003,18.92,0.65,0.952
2015-03-24,14:01,14:31,0.503,0.006,0.309,0.007, -2.3,-0.010,0.109,0.003,39.20,1.33,1.000
2015-03-24,14:40,15:10,0.473,0.006,0.273,0.007, -5.3,-0.011,0.112,0.004,30.52,1.13,1.000
2015-03-24,15:10,15:40,0.471,0.007,0.271,0.008, -5.2,-0.010,0.107,0.003,33.04,1.26,1.000
2015-03-24,15:49,16:19,0.588,0.007,0.422,0.009, -4.2,-0.005,0.104,0.005,57.25,3.83,1.000
2015-03-24,16:48,17:18,0.525,0.006,0.336,0.007, -4.7,-0.005,0.113,0.004,44.74,1.53,1.000
2015-03-24,17:18,17:48,0.549,0.007,0.367,0.009, -6.2,-0.002,0.111,0.004,44.75,1.55,0.999
