Hour,Minute,Second,u,v,w,T,diag
16,10,0,5.7795,1.309,0.9810001,16.01306,0
16,10,0.02,5.25425,2.213,1.121,15.97067,0
16,10,0.04,6.46525,1.526,0.80125,16.31,0
16,10,0.06,6.56575,1.65525,0.83,16.103,0
16,10,0.08,6.4875,2.32875,0.6925001,14.47296,0
16,10,0.1,7.504,2.03725,0.328,14.10083,0
16,10,0.12,7.42075,2.842,0.211,14.46783,0
16,10,0.14,7.771,2.62375,0.08925001,14.68451,0
16,10,0.16,7.65625,2.22075,0.03325,14.78265,0
16,10,0.18,7.201,2.3915,0.18525,14.85544,0
16,10,0.2,7.17825,2.177,0.257,15.14673,0
16,10,0.22,6.6855,1.9165,0.278,15.16199,0
16,10,0.24,7.137001,2.3735,-0.101,15.30264,0
16,10,0.26,6.428751,1.69625,0.16025,15.30264,0
16,10,0.28,6.71925,1.48325,0.05925,15.35852,0
16,10,0.3,6.5415,1.48225,-0.163,15.34332,0
16,10,0.32,6.127,1.32975,-0.1035,15.00107,0
16,10,0.34,6.11,1.3235,-0.0045,15.14508,0
16,10,0.36,6.18175,1.2945,-0.058,14.996,0
16,10,0.38,6.129251,1.96875,0.1395,15.34497,0
16,10,0.4,6.918,2.36925,0.17625,15.51111,0
16,10,0.42,5.34275,2.16,0.794,15.50598,0
16,10,0.44,6.1205,1.37775,0.298,15.73489,0
16,10,0.46,6.11575,1.9185,0.335,15.80103,0
16,10,0.48,5.1805,2.10825,0.9670001,16.33719,0
16,10,0.5,5.63125,1.16425,1.159,16.6564,0
16,10,0.52,5.136,1.25975,1.05325,16.6394,0
16,10,0.54,4.88725,1.60825,0.75025,16.5477,0
16,10,0.56,4.97575,0.94275,0.9005001,16.29306,0
16,10,0.58,5.8585,1.0645,0.5615,15.98593,0
16,10,0.6,6.06875,1.28125,0.54075,16.1861,0
16,10,0.62,5.4695,0.9662501,0.8345,16.46622,0
16,10,0.64,5.77725,1.34475,0.45025,16.62076,0
16,10,0.66,5.88175,2.06475,0.66475,16.70056,0
16,10,0.68,5.59725,1.959,0.95525,16.51038,0
16,10,0.7,5.99225,0.276,0.5165,16.39658,0
16,10,0.72,5.45075,1.47675,0.394,16.50867,0
16,10,0.74,6.2035,0.708,0.46025,16.33041,0
16,10,0.76,5.98625,1.6865,0.58575,16.07751,0
16,10,0.78,5.451,2.70375,0.243,16.18274,0
16,10,0.8,6.457,2.217,-0.187,16.12842,0
16,10,0.82,7.035,1.839,0.23975,16.3287,0
16,10,0.84,6.16775,1.86575,0.739,16.51373,0
16,10,0.86,5.447,1.67275,0.227,16.55621,0
16,10,0.88,5.83625,1.66475,-0.14075,16.63431,0
16,10,0.9,5.829,1.188,-0.307,16.54428,0
16,10,0.92,5.9855,1.82925,0.0355,15.65518,0
16,10,0.94,6.1135,2.23525,0.22325,15.48059,0
16,10,0.96,6.23275,1.51375,0.233,16.07751,0
16,10,0.98,5.781,1.728,0.60875,16.58167,0
16,10,1,5.6265,2.667,0.7557501,16.06567,0
16,10,1.02,6.640501,2.32875,0.4495,15.26706,0
16,10,1.04,6.6835,2.41425,0.5935,14.91812,0
16,10,1.06,6.496,2.575,0.723,15.62808,0
16,10,1.08,6.844501,2.106,0.9992501,15.54672,0
16,10,1.1,7.01625,3.10875,0.8535001,14.58463,0
16,10,1.12,7.0455,3.131,1.282,15.23148,0
16,10,1.14,6.264,2.19525,0.76525,15.87903,0
16,10,1.16,6.48525,2.123,1.003,15.89429,0
16,10,1.18,6.085001,1.8915,1.13625,16.17596,0
16,10,1.2,5.476,1.173,1.15425,16.25909,0
16,10,1.22,6.81475,2.3375,1.4025,15.35516,0
16,10,1.24,6.41175,2.62275,0.82025,15.67554,0
16,10,1.26,6.75975,1.40125,0.73425,15.81631,0
16,10,1.28,5.905,2.24425,0.14,15.77896,0
16,10,1.3,5.09575,1.64225,0.297,15.8519,0
16,10,1.32,5.66675,1.22475,-0.309,16.008,0
16,10,1.34,5.4055,1.35975,0.11825,15.99606,0
16,10,1.36,5.4,1.519,0.13875,16.1929,0
16,10,1.38,4.9595,1.9615,0.28875,16.46793,0
16,10,1.4,6.2615,1.8285,0.64925,16.70737,0
16,10,1.42,5.78775,1.7485,0.10675,16.42035,0
16,10,1.44,6.57325,1.661,0.845,16.68527,0
16,10,1.46,5.174,3.0295,0.90425,16.47641,0
16,10,1.48,6.468,1.70425,0.0345,16.36606,0
16,10,1.5,6.5785,1.37275,0.2005,16.32193,0
16,10,1.52,6.304,1.5475,0.39025,16.27945,0
16,10,1.54,5.78225,1.956,0.52675,16.46115,0
16,10,1.56,6.329,1.7155,0.2485,16.26251,0
16,10,1.58,6.3235,1.2845,0.2125,16.35928,0
16,10,1.6,6.358,1.02675,0.54725,16.72266,0
16,10,1.62,6.4885,1.182,0.3055,16.76004,0
16,10,1.64,5.4785,2.4515,0.74275,16.88913,0
16,10,1.66,6.98125,1.8755,0.5005,16.42883,0
16,10,1.68,6.708251,1.86175,0.154,16.72772,0
16,10,1.7,7.708,1.65225,0.03725,16.68869,0
16,10,1.72,6.0535,2.34525,0.35975,15.51788,0
16,10,1.74,7.97525,1.0425,-0.2485,14.81656,0
16,10,1.76,8.5045,1.6285,-0.1205,14.94351,0
16,10,1.78,8.579,1.747,0.71775,15.84848,0
16,10,1.8,7.21725,1.56675,0.7775,15.0062,0
16,10,1.82,7.859,1.712,0.5995,15.21957,0
16,10,1.84,7.456501,1.88875,-0.09625001,14.63708,0
16,10,1.86,6.91125,2.38725,-0.5025,14.72852,0
16,10,1.88,6.50275,2.375,-0.6867501,14.94864,0
16,10,1.9,6.78275,2.0525,-0.55175,16.43228,0
16,10,1.92,6.6035,2.1405,-0.16875,15.65179,0
16,10,1.94,6.82125,1.99325,0.17,16.25909,0
16,10,1.96,6.65325,2.424,-0.14125,16.41864,0
16,10,1.98,6.39,2.405,0.243,16.37283,0
16,10,2,6.8375,1.82425,-0.41425,15.3382,0
16,10,2.02,7.35475,1.87525,0.27975,15.52631,0
16,10,2.04,6.5505,2.236,-0.007,15.02988,0
16,10,2.06,6.93575,2.5355,0.00975,14.7691,0
16,10,2.08,7.1575,2.661,-0.2065,13.75262,0
16,10,2.1,8.198501,2.11325,-0.031,14.46109,0
16,10,2.12,7.533751,2.02025,-0.23925,14.64386,0
